Category,City,Country & State (group),Country,Customer ID,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Furniture,Henderson,Other,United States,CG-12520,Claire Gute,0,1,11/8/2016,,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,41.9136,2,South,1,261.96,Consumer,11/11/2016,Second Class,Kentucky,Bookcases
Furniture,Henderson,Other,United States,CG-12520,Claire Gute,0,1,11/8/2016,,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",219.582,3,South,2,731.94,Consumer,11/11/2016,Second Class,Kentucky,Chairs
Office Supplies,Los Angeles,west coast,United States,DV-13045,Darrin Van Huff,0,1,6/12/2016,,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,6.8714,2,West,3,14.62,Corporate,6/16/2016,Second Class,California,Labels
Furniture,Fort Lauderdale,south coast,United States,SO-20335,Sean O'Donnell,0.45,1,10/11/2015,,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,-383.031,5,South,4,957.5775,Consumer,10/18/2015,Standard Class,Florida,Tables
Office Supplies,Fort Lauderdale,south coast,United States,SO-20335,Sean O'Donnell,0.2,1,10/11/2015,,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,2.5164,2,South,5,22.368,Consumer,10/18/2015,Standard Class,Florida,Storage
Furniture,Los Angeles,west coast,United States,BH-11710,Brosina Hoffman,0,1,6/9/2014,11/20/5812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14.1694,7,West,6,48.86,Consumer,6/14/2014,Standard Class,California,Furnishings
Office Supplies,Los Angeles,west coast,United States,BH-11710,Brosina Hoffman,0,1,6/9/2014,11/20/5812,90032,OFF-AR-10002833,Newell 322,1.9656,4,West,7,7.28,Consumer,6/14/2014,Standard Class,California,Art
Technology,Los Angeles,west coast,United States,BH-11710,Brosina Hoffman,0.2,1,6/9/2014,11/20/5812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,90.7152,6,West,8,907.152,Consumer,6/14/2014,Standard Class,California,Phones
Office Supplies,Los Angeles,west coast,United States,BH-11710,Brosina Hoffman,0.2,1,6/9/2014,11/20/5812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,5.7825,3,West,9,18.504,Consumer,6/14/2014,Standard Class,California,Binders
Office Supplies,Los Angeles,west coast,United States,BH-11710,Brosina Hoffman,0,1,6/9/2014,11/20/5812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,34.47,5,West,10,114.9,Consumer,6/14/2014,Standard Class,California,Appliances
Furniture,Los Angeles,west coast,United States,BH-11710,Brosina Hoffman,0.2,1,6/9/2014,11/20/5812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,85.309200000,9,West,11,1706.184,Consumer,6/14/2014,Standard Class,California,Tables
Technology,Los Angeles,west coast,United States,BH-11710,Brosina Hoffman,0.2,1,6/9/2014,11/20/5812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,68.3568,4,West,12,911.424,Consumer,6/14/2014,Standard Class,California,Phones
